x,count
800,132
801,132
802,16
803,16
804,16
805,16
806,63
807,63
808,63
809,63
810,63
811,63
812,63
813,6
814,6
815,6
816,6
817,6
818,6
819,248
820,248
821,248
822,248
823,315
824,315
825,315
826,315
827,315
828,315
829,315
830,315
831,315
832,315
833,808
834,808
835,808
836,808
837,56
838,56
839,56
840,56
841,56
842,56
843,56
844,56
845,808
846,808
847,808
848,808
849,248
850,248
851,248
852,248
853,56
854,56
855,56
856,56
857,56
858,56
859,56
860,56
861,808
862,808
863,808
864,808
865,248
866,248
867,248
868,248
869,116
870,116
871,116
872,116
873,105
874,105
875,105
876,105
877,105
878,105
879,105
880,808
881,808
882,808
883,808
884,14
885,14
886,14
887,14
888,14
889,14
890,14
891,808
892,808
893,808
894,808
895,80
896,80
897,80
898,80
899,54
900,54
901,54
902,54
903,54
904,54
905,808
906,808
907,808
908,808
909,248
910,248
911,248
912,248
913,5
914,5
915,5
916,5
917,5
918,120
919,120
920,120
921,120
922,808
923,808
924,808
925,808
926,808
927,808
928,808
929,808
930,120
931,120
932,120
933,120
934,315
935,315
936,315
937,315
938,315
939,85
940,85
941,85
942,85
943,85
944,48
945,48
946,48
947,48
948,48
949,48
950,48
951,48
952,290
953,290
954,290
955,290
956,290
957,120
958,120
959,120
960,120
961,808
962,808
963,808
964,808
965,54
966,54
967,54
968,54
969,54
970,54
971,85
972,85
973,85
974,85
975,85
976,808
977,808
978,808
979,808
980,290
981,290
982,290
983,290
984,290
985,248
986,248
987,248
988,248
989,120
990,120
991,120
992,120
993,315
994,315
995,315
996,315
997,315
998,120
999,120
1000,120
1001,120
1002,248
1003,248
1004,248
1005,248
1006,116
1007,116
1008,116
1009,116
1010,315
1011,315
1012,315
1013,315
1014,315
1015,290
1016,290
1017,290
1018,290
1019,290
1020,808
1021,808
1022,808
1023,808
1024,108
1025,108
1026,108
1027,108
1028,108
1029,108
1030,315
1031,315
1032,315
1033,315
1034,315
1035,4
1036,4
1037,4
1038,4
1039,808
1040,808
1041,808
1042,808
1043,132
1044,132
1045,132
1046,132
1047,132
1048,132
1049,808
1050,808
1051,808
1052,808
1053,14
1054,14
1055,14
1056,14
1057,14
1058,14
1059,14
1060,315
1061,315
1062,315
1063,315
1064,315
1065,7
1066,7
1067,7
1068,7
1069,7
1070,7
1071,7
1072,808
1073,808
1074,808
1075,808
1076,48
1077,48
1078,48
1079,48
1080,48
1081,48
1082,48
1083,48
